github_path,category,dependency_partition,size,sha256,archive_identical_elsewhere,archive_same_basename_elsewhere,included_by_count,included_by
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcmarker.obj,generated/build artifact,unclassified/non-code,7545,2e2789a7c3b7c142fb72aa1bea8a2158f4410a4b97307b18ee42ffc7444c4829,,Compiled/KR/release_gm/XGamebase/jcmarker.obj;Compiled/TH/release_gm/XGamebase/jcmarker.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcmaster.obj,generated/build artifact,unclassified/non-code,5107,001812352268edfe618794e771950e9e6c1dfeee4142d74f0151c9d2e8edaae9,,Compiled/KR/release_gm/XGamebase/jcmaster.obj;Compiled/TH/release_gm/XGamebase/jcmaster.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcomapi.obj,generated/build artifact,unclassified/non-code,1283,eb1f7751aa4085c1cd53d1eb19aaa885152b67eb9b4d64a74ced081f40f0dfee,,Compiled/KR/release_gm/XGamebase/jcomapi.obj;Compiled/TH/release_gm/XGamebase/jcomapi.obj;XLauncher/Release/jcomapi.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcparam.obj,generated/build artifact,unclassified/non-code,8133,846636a0b5612d37b7f96ee893c9356c2bc7c66435acc09c1d743c71e818d0a9,,Compiled/KR/release_gm/XGamebase/jcparam.obj;Compiled/TH/release_gm/XGamebase/jcparam.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcphuff.obj,generated/build artifact,unclassified/non-code,7204,e6e0245af0e5a9da6e8996b1d72722ff7650cd774d8b80fa4e02693f12af3ed3,,Compiled/KR/release_gm/XGamebase/jcphuff.obj;Compiled/TH/release_gm/XGamebase/jcphuff.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcprepct.obj,generated/build artifact,unclassified/non-code,3165,257f4993638dd0ee61e998bce71d7d22e3b002ad11ddfe3a1c7137e84b29d299,,Compiled/KR/release_gm/XGamebase/jcprepct.obj;Compiled/TH/release_gm/XGamebase/jcprepct.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jcsample.obj,generated/build artifact,unclassified/non-code,5205,1c2e47e46968339f539ce74f21253878baa5c2f6446b9408ace9fbc9d5069d0a,,Compiled/KR/release_gm/XGamebase/jcsample.obj;Compiled/TH/release_gm/XGamebase/jcsample.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jctrans.obj,generated/build artifact,unclassified/non-code,3994,9fdba51776d07dc9947179c1c1ec1d7cbc598fffe729b82b76fa426d9b051cf0,,Compiled/KR/release_gm/XGamebase/jctrans.obj;Compiled/TH/release_gm/XGamebase/jctrans.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jdapimin.obj,generated/build artifact,unclassified/non-code,4056,4f34c4bc2bc5af001dc14b135f45a180598d7178b543284135a32eae99a14437,,Compiled/KR/release_gm/XGamebase/jdapimin.obj;Compiled/TH/release_gm/XGamebase/jdapimin.obj;XLauncher/Release/jdapimin.obj,0,
Library/QHTM_FullSource1967/components/jpeg-6b/Release/obj/jdapistd.obj,generated/build artifact,unclassified/non-code,2703,0e1394bbd885cb514465f00c6bbc85f7c3f9cdd2460c2fdbf35035b68981ed0b,,Compiled/KR/release_gm/XGamebase/jdapistd.obj;Compiled/TH/release_gm/XGamebase/jdapistd.obj;XLauncher/Release/jdapistd.obj,0,
